"Provider.CCN","Hospital.Name","State.Code","City","County","Rural.Versus.Urban","Provider.Type","Type.of.Control","FTE...Employees.on.Payroll","Number.of.Beds","Total.Discharges.Title.XVIII","Total.Salaries.From.Worksheet.A","Total.Income","Total.Costs","Year","for_profit","urban","LOGFTE...Employees.on.Payroll","Total.Salaries.From.Worksheet.ALOG","Total.Income.ALOG","logDischarge","logTotalCosts","post"
341323,"CHARLES A. CANNON MEMORIAL HOSPITAL","NC","LINVILLE","AVERY","R",1,"Non-profit",148.4,25,524,9374848,-2140270,21878808,2015,0,1,4.99991133073328,16.053540916356,NA,6.26149168432104,16.9010290550578,0
262020,"LANDMARK HOSPITAL OF COLUMBIA  LLC","MO","COLUMBIA","BOONE","U",2,"For-profit",85.85,42,255,4857477,578788,14926313,2015,1,0,4.45260158734348,15.3960297252766,13.2686915409744,5.54126354515843,16.5186361865729,0
522005,"LAKEVIEW SPECIALTY HOSPT & REHAB","WI","WATERFORD","RACINE","U",2,"For-profit",168.01,39,119,10787815,-894672,19702923,2015,1,0,5.12402350144131,16.193927814411,NA,4.77912349311153,16.7962775583362,0
171324,"SATANTA DISTRICT HOSPITAL","KS","SATANTA","HASKELL","R",1,"Non-profit",88.62,13,67,5727072,-721405,10331105,2015,0,1,4.48435756577134,15.5607149633242,NA,4.20469261939097,16.1506698053653,0
262017,"SSH - SPRINGFIELD INC.","MO","SPRINGFIELD","GREENE","U",2,"For-profit",142.11,44,258,8039204,6063,19691604,2015,1,0,4.95660140560377,15.8998406312787,8.70996000607173,5.55295958492162,16.7957029099688,0
232037,"SPARROW SPECIALTY HOSPITAL","MI","LANSING","INGHAM","U",2,"Non-profit",100.14,36,171,6212992,1745291,13464722,2015,0,0,4.6065692069018,15.6421531414223,14.372431861893,5.14166355650266,16.4155836378951,0
171314,"FW HUSTON MEMORIAL HOSPITAL","KS","WINCHESTER","JEFFERSON","R",1,"Non-profit",47.49,25,6,3448993,194141,5110813,2015,0,1,3.86051916256103,15.0535928623431,12.176339978175,1.79175946922805,15.4468690493292,0
171335,"STEVENS COUNTY HOSPITAL","KS","HUGOTON","STEVENS","R",1,"Non-profit",84.57,17,104,8077792,-802472,13039152,2015,0,1,4.43757959379413,15.9046291258262,NA,4.64439089914137,16.3834670816733,0
171322,"HAMILTON COUNTY HOSPITAL","KS","SYRACUSE","HAMILTON","R",1,"Non-profit",63.09,25,42,3394744,-1771848,6879777,2015,0,1,4.14456227838272,15.0377389111245,NA,3.73766961828337,15.7440967965935,0
154054,"HARSHA BEHAVIORAL CENTER","IN","TERRE HAUTE","VIGO","U",4,"For-profit",105.15,44,295,3812854,3518595,6789173,2015,1,0,4.65538790214871,15.1538885480463,15.0735723201663,5.68697535633982,15.7308396953571,0
171323,"STAFFORD COUNTY HOSPITAL","KS","STAFFORD","STAFFORD","R",1,"Non-profit",38.72,25,41,1677791,136815,3762299,2015,0,1,3.65635626240838,14.3329886052126,11.8263849272824,3.71357206670431,15.1405407646854,0
171369,"HODGEMAN COUNTY HEALTH CENTER","KS","JETMORE","HODGEMAN","R",1,"Non-profit",52.11,13,109,3393363,-928789,7416898,2015,0,1,3.95335686892112,15.0373320230129,NA,4.69134788222914,15.8192714684332,0
171312,"COMANCHE COUNTY HOSPITAL","KS","COLDWATER","COMANCHE","R",1,"Non-profit",46.76,12,51,2598204,-466239,4913082,2015,0,1,3.84502813660387,14.7703309950699,NA,3.93182563272433,15.4074120014247,0
511316,"GRANT MEMORIAL HOSPITAL","WV","PETERSBURG","GRANT","R",1,"Non-profit",291.14,25,604,14236524,-602206,30457886,2015,0,1,5.67380425113651,16.471321333027,NA,6.40357419793482,17.2318555005278,0
171343,"STANTON COUNTY HOSPITAL","KS","JOHNSON","STANTON","R",1,"Non-profit",59.9,16,50,4499131,-1365684,9388760,2015,0,1,4.0926765051214,15.3193948249811,NA,3.91202300542815,16.0550237870863,0
51315,"TRINITY HOSPITAL","CA","WEAVERVILLE","TRINITY","R",1,"Non-profit",94.2,25,184,6522178,4062587,13418324,2015,0,1,4.54542018158232,15.6907189272006,15.2173305207754,5.21493575760899,16.4121317934821,0
281319,"JEFFERSON COMMUNITY HEALTH CENTER","NE","FAIRBURY","JEFFERSON","R",1,"Non-profit",114.73,17,114,6985991,611129,15152028,2015,0,1,4.74258154181105,15.7594174160572,13.3230633451653,4.7361984483945,16.5336449423472,0
281341,"CHADRON COMMUNITY HOSPITAL","NE","CHADRON","DAWES","R",1,"Non-profit",131.32,25,209,7369645,531795,16925456,2015,0,1,4.87763709263339,15.8128800947557,13.184013355716,5.34233425196481,16.6443293187926,0
264031,"OSAGE BEACH CENTER FOR COGNITIVE DIS","MO","OSAGE BEACH","CAMDEN","R",4,"For-profit",15.85,14,37,686832,-267579,1496104,2015,1,1,2.76316950032329,13.4398449998146,NA,3.61091791264422,14.2183749538168,0
234038,"STONECREST","MI","DETROIT","WAYNE","U",4,"For-profit",221.65,104,615,11760106,4869532,18219851,2015,1,0,5.40109956119106,16.2802235139996,15.3985083918784,6.42162226780652,16.7180222719361,0
374001,"NORTHWEST CTR FOR BEHAVIORAL HEALTH","OK","FT. SUPPLY","WOODWARD","R",4,"Non-profit",177.7,24,55,6329512,4680364,8404732,2015,0,1,5.18009673516061,15.6607336979416,15.3588864426471,4.00733318523247,15.9443054385342,0
192041,"ZACHARY-AMG SPECIALTY HOSPITAL","LA","CLINTON","EAST FELICIANA","U",2,"For-profit",27.89,16,75,1501365,-374065,3454512,2015,1,0,3.3282682016394,14.2218852522735,NA,4.31748811353631,15.0551917606349,0
171349,"CLOUD COUNTY HEALTH CENTER","KS","CONCORDIA","CLOUD","R",1,"Non-profit",119.88,22,280,6883056,197971,12743107,2015,0,1,4.78649124244846,15.7445732973346,12.1958758343032,5.63478960316925,16.360501055926,0
171359,"GREELEY COUNTY HEALTH SERVICES","KS","TRIBUNE","GREELEY","R",1,"Non-profit",67.27,18,146,4791418,-225115,9378942,2015,0,1,4.20871437203751,15.3823369589808,NA,4.98360662170834,16.0539775214438,0
264024,"LAKELAND REGIONAL HOSPITAL","MO","SPRINGFIELD","GREENE","U",4,"For-profit",333.6,200,182,12911901,6044373,19784237,2015,1,0,5.80994267048459,16.3736600021762,15.6146383145672,5.2040066870768,16.8003960674889,0
451362,"CLAY COUNTY MEMORIAL HOSPITAL","TX","HENRIETTA","CLAY","R",1,"Non-profit",77.79,25,119,2835057,-2790,6474071,2015,0,1,4.35401288821868,14.857572600762,NA,4.77912349311153,15.6833156803529,0
171331,"KIOWA DISTRICT HOSPITAL","KS","KIOWA","BARBER","R",1,"Non-profit",50.85,10,64,2569788,495980,5252654,2015,0,1,3.92888012249457,14.7593339631965,13.1142908823134,4.15888308335967,15.4742440306432,0
371323,"WEATHERFORD REGIONAL HOSPITAL","OK","WEATHERFORD","CUSTER","R",1,"Non-profit",143.88,25,245,7244834,-754619,15566646,2015,0,1,4.96897961882742,15.7957992211211,NA,5.50125821054473,16.560641106347,0
171368,"MINNEOLA DISTRICT HOSPITAL","KS","MINNEOLA","FORD","R",1,"Non-profit",75.13,18,156,5608970,-268756,10562334,2015,0,1,4.31921994638107,15.5398776599292,NA,5.04985600724954,16.1728048345477,0
171358,"LINDSBORG COMMUNITY HOSPITAL","KS","LINDSBORG","MCPHERSON","R",1,"Non-profit",78.93,23,190,4626626,1059560,6715910,2015,0,1,4.36856138372031,15.3473384347108,13.8733642855731,5.24702407216049,15.7199898962559,0
192031,"CORNERSTONE HOSPITAL OF WEST MONROE","LA","WEST MONROE","OUACHITA","U",2,"For-profit",133.91,47,277,4240088,52363,9804941,2015,1,0,4.89716793250747,15.2600945817097,10.865955514028,5.62401750618734,16.0983970002564,0
351312,"NORTHWOOD DEACONESS HEALTH CENTER","ND","NORTHWOOD","GRAND FORKS","U",1,"Non-profit",52.84,12,68,5886032,215751,10635097,2015,0,0,3.96726847965412,15.5880926443901,12.2818802439291,4.21950770517611,16.1796701274023,0
171336,"NESS COUNTY HOSPITAL DISTRICT #2","KS","NESS CITY","NESS","R",1,"Non-profit",60.53,20,69,3924567,599308,8461178,2015,0,1,4.1031391099036,15.1827665846418,13.3035309352642,4.23410650459726,15.9509989653877,0
234011,"KINGSWOOD HOSPITAL","MI","FERNDALE","OAKLAND","U",4,"Non-profit",229.87,136,429,13558182,-5432802,20631157,2015,0,0,5.43751393173633,16.4225007606918,NA,6.06145691892802,16.8423129668485,0
192013,"CORNERSTONE HOSPITAL OF SW LOUISIANA","LA","SULPHUR","CALCASIEU","U",2,"For-profit",38.53,28,117,1336309,555102,4074097,2015,1,0,3.65143715863807,14.1054218937611,13.2269071596262,4.76217393479776,15.2201596850093,0
451303,"LIMESTONE MEDICAL CENTER","TX","GROESBECK","LIMESTONE","R",1,"Non-profit",137.94,15,156,7398006,3370576,16835907,2015,0,1,4.92681880800315,15.8167210624042,15.0305942076047,5.04985600724954,16.6390244849799,0
452106,"POST ACUTE MEDICAL OF NEW BRAUNFELS","TX","NEW BRANFELS","COMAL","U",2,"For-profit",104.35,40,324,5408964,1458026,12401549,2015,1,0,4.64775063352321,15.5035681352574,14.1925940240392,5.78074351579233,16.3333319421283,0
371309,"PAWHUSKA HOSPITAL  INC.","OK","PAWHUSKA","OSAGE","R",1,"Non-profit",52.25,25,41,2514462,98128,6944827,2015,0,1,3.95603989084492,14.7375694221316,11.4940280278658,3.71357206670431,15.7535076238531,0
451301,"REAGAN MEMORIAL HOSPITAL","TX","BIG LAKE","REAGAN","R",1,"Non-profit",37.25,7,6,3790126,348804,8516681,2015,0,1,3.61765194482557,15.1479098218886,12.7622654388411,1.79175946922805,15.957537268919,0
231316,"HILLS & DALES GENERAL HOSPITAL","MI","CASS CITY","TUSCOLA","R",1,"Non-profit",175.56,25,260,12880956,379764,22847251,2015,0,1,5.16798086482003,16.3712604994885,12.8473052861379,5.56068163101553,16.9443413617214,0
281339,"MEMORIAL HEALTH CARE SYSTEMS","NE","SEWARD","SEWARD","R",1,"Non-profit",157.71,24,332,13340404,2277913,22383214,2015,0,1,5.06075790349947,16.4063078828507,14.638770230864,5.80513496891649,16.9238218609035,0
54131,"JOHN MUIR BEHAVIORAL HEALTH","CA","CONCORD","CONTRA COSTA","U",4,"Non-profit",196.74,73,336,19171168,-1678553,35709362,2015,0,0,5.28188306008461,16.7689180416999,NA,5.8171111599632,17.3909234532671,0
261327,"RAY COUNTY MEMORIAL HOSPITAL","MO","RICHMOND","RAY","R",1,"Non-profit",186.79,25,425,9524889,5126099,19830575,2015,0,1,5.22998499117121,16.0694188253658,15.4498554990244,6.05208916892442,16.8027354965456,0
371324,"HARPER COUNTY COMMUNITY HOSPITAL","OK","BUFFALO","HARPER","R",9,"Non-profit",45.25,15,78,2183678,-293472,2813260,2015,0,1,3.81220267014594,14.5965211690798,NA,4.35670882668959,14.8498545112136,0
104071,"THE VINES HOSPITAL","FL","OCALA","OCALA","U",4,"For-profit",103.25,64,499,6384038,3266144,10862516,2015,1,0,4.63715323184114,15.669311370475,14.9991206421713,6.21260609575152,16.2008285215121,0
281302,"PAWNEE COUNTY MEMORIAL HOSPITAL","NE","PAWNEE CITY","PAWNEE","R",1,"Non-profit",44.13,17,36,3072525,309673,6734430,2015,0,1,3.78713982328146,14.9380102570857,12.6432721810178,3.58351893845611,15.7227437317284,0
464013,"SALT LAKE CITY BEHAVIORAL HEALTH","UT","SALT LAKE CITY","SALT LAKE","U",4,"For-profit",144.5,118,430,8336702,-2046220,13895334,2015,1,0,4.97327950755249,15.9361782524814,NA,6.06378520868761,16.4470636582934,0
104063,"THE WILLOUGH AT NAPLES","FL","NAPLES","CHARLOTTE","U",4,"For-profit",121.28,63,956,5987301,-147570,10027198,2015,1,0,4.79810192189406,15.6051512842408,NA,6.8627579130514,16.1208117589951,0
281300,"HARLAN COUNTY HEALTH SYSTEM","NE","ALMA","HARLAN","R",1,"Non-profit",54.69,19,36,3378914,-65330,8139594,2015,0,1,4.00168087735868,15.0330649140556,NA,3.58351893845611,15.9122508595849,0
364029,"LAURELWOOD HOSPITAL","OH","WILLOUGHBY","LAKE","U",4,"For-profit",258.16,154,1205,12612757,16503868,20073105,2015,1,0,5.55357954774371,16.3502193200469,16.6191053356402,7.09423484592476,16.8148914173266,0
152028,"VIBRA HOSPITAL OF NORTHWEST INDIANA","IN","CROWN POINT","LAKE","U",2,"For-profit",118.64,40,389,7313285,2586427,18448403,2015,1,0,4.77609369782968,15.805203115188,14.7657879445594,5.96357934361845,16.7304883664388,0
281340,"DUNDY COUNTY HOSPITAL","NE","BENKELMAN","DUNDY","R",1,"Non-profit",63.91,14,66,3828870,-425160,7556014,2015,0,1,4.15747584366219,15.1580802784597,NA,4.18965474202643,15.837854360434,0
451304,"SCHLEICHER COUNTY MEDICAL CENTER","TX","ELDORADO","SCHLEICHER","R",1,"For-profit",39.04,14,78,1966405,483126,5228655,2015,1,1,3.66458676154489,14.4917175605083,13.0880327681794,4.35670882668959,15.4696646327951,0
171303,"LANE COUNTY HOSPITAL","KS","DIGHTON","LANE","R",1,"Non-profit",37.83,17,29,2229096,251104,4737340,2015,0,1,3.63310243864494,14.6171066800812,12.4336224749272,3.36729582998647,15.3709863547154,0
251305,"LAWRENCE COUNTY HOSPITAL","MS","MONTICELLO","LAWRENCE","R",1,"Non-profit",100.73,25,350,3820453,123049,9972416,2015,0,1,4.61244366995459,15.1558795599394,11.7203379290084,5.85793315448346,16.1153334395625,0
171300,"GRISELL MEMORIAL HOSPITAL DIST #1","KS","RANSOM","NESS","R",1,"Non-profit",46.28,12,17,2562751,-36687,5266721,2015,0,1,3.83470990232548,14.7565918488514,NA,2.83321334405622,15.4769185257316,0
281320,"MEMORIAL COMMUNITY HEALTH  INC.","NE","AURORA","HAMILTON","R",1,"Non-profit",185.72,14,112,10164378,570027,16013457,2015,0,1,5.22424016315172,16.1343998128133,13.2534390071099,4.71849887129509,16.5889399892092,0
281312,"GENOA COMMUNITY HOSPITAL","NE","GENOA","NANCE","R",1,"Non-profit",43.78,17,57,2654026,-55221,4799295,2015,0,1,3.77917709209472,14.7915882903598,NA,4.04305126783455,15.3839795900909,0
104070,"PORT ST LUCIE HOSPITAL","FL","PORT ST. LUCIE","ST. LUCIE","U",4,"For-profit",138.1,75,1043,6876006,10090,9328106,2015,1,0,4.92797806041525,15.7435485180848,9.21930011334766,6.94985645500077,16.0485425511442,0
261320,"LAFAYETTE REGIONAL HEALTH CENTER","MO","LEXINGTON","LAFAYETTE","U",1,"For-profit",158.09,25,521,12481971,-386832,27264093,2015,1,0,5.0631644911081,16.3397958411278,NA,6.25575004175337,17.1210811196969,0
21309,"KANAKANAK HOSPITAL","AK","DILLINGHAM","DILLINGHAM","R",1,"Non-profit",400,16,71,28200392,-59720418,22125667,2015,0,1,5.99146454710798,17.1548464365209,NA,4.26267987704132,16.9122488952965,0
451311,"SWEENY COMMUNITY HOSPITAL","TX","SWEENY","BRAZORIA","R",1,"Non-profit",169.71,16,96,5154697,-53124,12277242,2015,0,1,5.13409109802317,15.4554188958202,NA,4.56434819146784,16.3232578626246,0
171379,"MORRIS COUNTY HOSPITAL","KS","COUNCIL GROVE","MORRIS","R",1,"Non-profit",78.31,25,146,3241515,-245633,8301404,2015,0,1,4.36067530876285,14.9915513710738,NA,4.98360662170834,15.931935215088,0
451363,"JACKSON COUNTY HOSPITAL","TX","EDNA","JACKSON","R",1,"Non-profit",107.8,25,70,6848069,749071,15752273,2015,0,1,4.6802776584749,15.7394772726875,13.5265890510642,4.24849524204936,16.5724952302835,0
171308,"MERCY HOSPITAL COLUMBUS","KS","COLUMBUS","CHEROKEE","R",1,"Non-profit",38.22,20,14,2489564,254458,4901479,2015,0,1,3.64335893881213,14.7276181527074,12.4468910718843,2.63905732961526,15.405047554272,0
224038,"WALDEN BEHAVIORAL CARE","MA","WALTHAM","SUFFOLK","U",4,"For-profit",211.66,47,161,15919873,-5180823,17736973,2015,1,0,5.35498121366558,16.5830787609618,NA,5.08140436498446,16.6911618889449,0
151333,"PUTNAM COUNTY HOSPITAL","IN","GREENCASTLE","PUTNAM","R",1,"Non-profit",246.21,25,351,14359864,3438293,26612944,2015,0,1,5.50618483030973,16.4799476507874,15.050485685261,5.86078622346587,17.0969082719338,0
31308,"HU HU KAM MEMORIAL HOSPITAL","AZ","SACATON","PINAL","R",1,"Non-profit",1073,12,5,67919394,-138616388,46605114,2015,0,1,6.9782137426307,18.0338321776661,NA,1.6094379124341,17.6572208355639,0
131304,"POWER COUNTY HOSPITAL DISTRICT","ID","AMERICAN FALLS","POWER","R",1,"Non-profit",63.23,10,29,3725354,-221653,6391522,2015,0,1,4.14677887207052,15.1306724388374,NA,3.36729582998647,15.6704829826558,0
234040,"SAMARITAN BEHAVIORAL CENTER","MI","DETROIT","WAYNE","U",4,"Non-profit",98.82,55,462,4989014,374240,8500190,2015,0,0,4.5933000134176,15.4227488530128,12.832652581818,6.13556489108174,15.9555990741519,0
450451,"GLEN ROSE MEDICAL CENTER","TX","GLEN ROSE","SOMERVELL","R",1,"Non-profit",164.01,16,295,6771147,884551,14903321,2015,0,1,5.09992740157502,15.7281810544669,13.6928354506145,5.68697535633982,16.5170946319864,0
362025,"SPECIALTY HOSPITAL OF LORAIN","OH","LORAIN","LORAIN","U",2,"Non-profit",55.99,28,174,3150341,320758,8825380,2015,0,0,4.0251731033608,14.963021258911,12.6784422237101,5.15905529921453,15.9931422193467,0
251324,"WALTHALL COUNTY GENERAL HOSPITAL","MS","TYLERTOWN","WALTHALL","R",1,"Non-profit",83.03,25,275,4769977,-761896,11606911,2015,0,1,4.41920198827394,15.37785204105,NA,5.61677109766657,16.2671112545347,0
231308,"MUNISING MEMORIAL HOSPITAL","MI","MUNISING","ALGER","R",1,"Non-profit",74.87,11,36,4253219,1078575,8486863,2015,0,1,4.31575327624259,15.2631866659738,13.8911512834227,3.58351893845611,15.9540299964862,0
261306,"SULLIVAN COUNTY MEMORIAL HOSPITAL","MO","MILAN","SULLIVAN","R",1,"Non-profit",53.98,14,106,2993764,-637972,6857917,2015,0,1,3.98861360758986,14.9120420165396,NA,4.66343909411207,15.7409143092779,0
